Relaxation,Total instances,# instances with |EU_gap-IU_gap| > 1,Max |EU_gap-IU_gap|,Instance id (max diff),Instance label (max diff)
RLT_SOC2x2_full_U,23,2,5.90520000000015,22,
RLT_SOC_directional_U,23,2,5.90520000000015,22,
RLT_SOC_hybrid_U,23,2,5.90520000000015,22,
RLT_SOC2x2_diag_U,23,2,5.905099999999948,22,
RLT,23,2,5.9050000000002,22,
RLT_PSD3x3_U,23,2,5.904899999999998,22,
RLT_blockSDP_U,23,1,3.4702000000015687,16,
RLT_PSD3x3_X,23,1,1.7241000000000213,18,
RLT_PSD3x3_XU,23,1,1.7241000000000213,18,
RLT_SOC_directional_X,23,1,1.7240000000000464,18,
RLT_SOC_directional_XU,23,1,1.7240000000000464,18,
RLT_blockSDP_X,23,1,1.7240000000000464,18,
RLT_SOC_hybrid_X,23,1,1.7239000000000146,18,
RLT_SOC_hybrid_XU,23,1,1.7239000000000146,18,
RLT_SOC2x2_diag_X,23,1,1.6874000000000002,6,
RLT_SOC2x2_diag_XU,23,1,1.6874000000000002,6,
RLT_SOC2x2_full_X,23,1,1.5784999999999627,18,
RLT_SOC2x2_full_XU,23,1,1.5784999999999627,18,
RLT_full_SDP,23,1,1.3040000000000003,9,
RLT_blockSDP_XU,23,1,1.0357000000000198,18,
