inst_id,inst_label,n,rho,mode,EU_status,EU_obj,EU_gap,EU_time_sec,IU_status,IU_obj,IU_gap,IU_time_sec,exact_status,exact_obj,exact_time_sec,mode_str,abs_obj_diff
1,n4_rho3_B_LI_NCVX_rational,4,3.0,RLT,OPTIMAL,-9930.999999628746,0.0,0.0036,OPTIMAL,-9999.999999995618,0.6948,0.0026,OPTIMAL,-9931.0,0.0188,RLT,69.00000036687197
1,n4_rho3_B_LI_NCVX_rational,4,3.0,RLT_SOC2x2_diag_X,OPTIMAL,-9930.999999077752,0.0,0.0041,OPTIMAL,-9999.999999967738,0.6948,0.0051,OPTIMAL,-9931.0,0.0188,RLT_SOC2x2_diag_X,69.00000088998604
1,n4_rho3_B_LI_NCVX_rational,4,3.0,RLT_SOC2x2_diag_U,OPTIMAL,-9930.999999890777,0.0,0.0025,OPTIMAL,-9999.999999993419,0.6948,0.0046,OPTIMAL,-9931.0,0.0188,RLT_SOC2x2_diag_U,69.00000010264193
1,n4_rho3_B_LI_NCVX_rational,4,3.0,RLT_SOC2x2_diag_XU,OPTIMAL,-9930.999999487174,0.0,0.0027,OPTIMAL,-9999.999999992844,0.6948,0.003,OPTIMAL,-9931.0,0.0188,RLT_SOC2x2_diag_XU,69.00000050566996
1,n4_rho3_B_LI_NCVX_rational,4,3.0,RLT_SOC2x2_full_X,OPTIMAL,-9930.99999519889,0.0,0.0029,OPTIMAL,-9999.999997671342,0.6948,0.0034,OPTIMAL,-9931.0,0.0188,RLT_SOC2x2_full_X,69.00000247245225
1,n4_rho3_B_LI_NCVX_rational,4,3.0,RLT_SOC2x2_full_U,OPTIMAL,-9930.99999357689,0.0,0.0032,OPTIMAL,-9999.99999998978,0.6948,0.0034,OPTIMAL,-9931.0,0.0188,RLT_SOC2x2_full_U,69.00000641288898
1,n4_rho3_B_LI_NCVX_rational,4,3.0,RLT_SOC2x2_full_XU,OPTIMAL,-9930.999997085288,0.0,0.0035,OPTIMAL,-9999.999999993659,0.6948,0.0037,OPTIMAL,-9931.0,0.0188,RLT_SOC2x2_full_XU,69.00000290837124
1,n4_rho3_B_LI_NCVX_rational,4,3.0,RLT_SOC_directional_X,OPTIMAL,-9930.999999210993,0.0,0.0035,OPTIMAL,-9999.999999178819,0.6948,0.0043,OPTIMAL,-9931.0,0.0188,RLT_SOC_directional_X,68.99999996782572
1,n4_rho3_B_LI_NCVX_rational,4,3.0,RLT_SOC_directional_U,OPTIMAL,-9930.999999795258,0.0,0.004,OPTIMAL,-9999.99998165577,0.6948,0.0034,OPTIMAL,-9931.0,0.0188,RLT_SOC_directional_U,68.99998186051198
1,n4_rho3_B_LI_NCVX_rational,4,3.0,RLT_SOC_directional_XU,OPTIMAL,-9930.999992740948,0.0,0.0038,OPTIMAL,-9999.999999173735,0.6948,0.0039,OPTIMAL,-9931.0,0.0188,RLT_SOC_directional_XU,69.0000064327869
1,n4_rho3_B_LI_NCVX_rational,4,3.0,RLT_SOC_hybrid_X,OPTIMAL,-9930.99995335839,0.0,0.0038,OPTIMAL,-9999.999995748345,0.6948,0.043,OPTIMAL,-9931.0,0.0188,RLT_SOC_hybrid_X,69.00004238995461
1,n4_rho3_B_LI_NCVX_rational,4,3.0,RLT_SOC_hybrid_U,OPTIMAL,-9930.999983335012,0.0,0.0045,OPTIMAL,-9999.999985649487,0.6948,0.0031,OPTIMAL,-9931.0,0.0188,RLT_SOC_hybrid_U,69.00000231447484
1,n4_rho3_B_LI_NCVX_rational,4,3.0,RLT_SOC_hybrid_XU,OPTIMAL,-9930.999999686084,0.0,0.0041,OPTIMAL,-9999.999999041836,0.6948,0.0047,OPTIMAL,-9931.0,0.0188,RLT_SOC_hybrid_XU,68.99999935575215
1,n4_rho3_B_LI_NCVX_rational,4,3.0,RLT_PSD3x3_X,OPTIMAL,-9930.999999949574,0.0,0.0096,OPTIMAL,-10000.000000539196,0.6948,0.0086,OPTIMAL,-9931.0,0.0188,RLT_PSD3x3_X,69.00000058962178
1,n4_rho3_B_LI_NCVX_rational,4,3.0,RLT_PSD3x3_U,OPTIMAL,-9930.999985719565,0.0,0.0072,OPTIMAL,-10000.000001932083,0.6948,0.0076,OPTIMAL,-9931.0,0.0188,RLT_PSD3x3_U,69.00001621251795
1,n4_rho3_B_LI_NCVX_rational,4,3.0,RLT_PSD3x3_XU,OPTIMAL,-9930.999999799587,0.0,0.0107,OPTIMAL,-10000.000006263386,0.6948,0.0102,OPTIMAL,-9931.0,0.0188,RLT_PSD3x3_XU,69.00000646379885
18,n6_rho4_P_LI1_LE1_QE1_NCVX_seed108,6,4.0,RLT_blockSDP_X,OPTIMAL,-11.348187611937913,312.0959,0.0228,OPTIMAL,-11.395662144967371,313.8199,0.0257,OPTIMAL,-2.753773348650564,0.1563,RLT_blockSDP_X,0.047474533029458144
6,n4_rho3_P_LI_NCVX_seed5,4,3.0,RLT_blockSDP_U,OPTIMAL,-1334.141837854884,44.7454,0.0078,OPTIMAL,-1335.0764883713277,44.8468,0.0115,OPTIMAL,-921.7161056209185,0.0298,RLT_blockSDP_U,0.9346505164437531
18,n6_rho4_P_LI1_LE1_QE1_NCVX_seed108,6,4.0,RLT_blockSDP_XU,OPTIMAL,-11.348187894764251,312.0959,0.0287,OPTIMAL,-11.37670886991237,313.1316,0.0297,OPTIMAL,-2.753773348650564,0.1563,RLT_blockSDP_XU,0.02852097514811902
9,n10_rho8_B_LI_LE_QI_QE_NCVX_seed8,10,8.0,RLT_full_SDP,OPTIMAL,-1473.8759339216242,8.4396,0.2939,OPTIMAL,-1491.5989906387172,9.7436,0.3898,OPTIMAL,-1359.167460726758,0.3798,RLT_full_SDP,17.72305671709296
