mode_str,total_instances,max_abs_obj_diff,argmax_inst_id,argmax_inst_label,argmax_EU_status,argmax_IU_status
RLT_SOC_hybrid_X,23,69.00004238995461,1,n4_rho3_B_LI_NCVX_rational,OPTIMAL,OPTIMAL
RLT_PSD3x3_U,23,69.00001621251795,1,n4_rho3_B_LI_NCVX_rational,OPTIMAL,OPTIMAL
RLT_PSD3x3_XU,23,69.00000646379885,1,n4_rho3_B_LI_NCVX_rational,OPTIMAL,OPTIMAL
RLT_SOC_directional_XU,23,69.0000064327869,1,n4_rho3_B_LI_NCVX_rational,OPTIMAL,OPTIMAL
RLT_SOC2x2_full_U,23,69.00000641288898,1,n4_rho3_B_LI_NCVX_rational,OPTIMAL,OPTIMAL
RLT_SOC2x2_full_XU,23,69.00000290837124,1,n4_rho3_B_LI_NCVX_rational,OPTIMAL,OPTIMAL
RLT_SOC2x2_full_X,23,69.00000247245225,1,n4_rho3_B_LI_NCVX_rational,OPTIMAL,OPTIMAL
RLT_SOC_hybrid_U,23,69.00000231447484,1,n4_rho3_B_LI_NCVX_rational,OPTIMAL,OPTIMAL
RLT_SOC2x2_diag_X,23,69.00000088998604,1,n4_rho3_B_LI_NCVX_rational,OPTIMAL,OPTIMAL
RLT_PSD3x3_X,23,69.00000058962178,1,n4_rho3_B_LI_NCVX_rational,OPTIMAL,OPTIMAL
RLT_SOC2x2_diag_XU,23,69.00000050566996,1,n4_rho3_B_LI_NCVX_rational,OPTIMAL,OPTIMAL
RLT,23,69.00000036687197,1,n4_rho3_B_LI_NCVX_rational,OPTIMAL,OPTIMAL
RLT_SOC2x2_diag_U,23,69.00000010264193,1,n4_rho3_B_LI_NCVX_rational,OPTIMAL,OPTIMAL
RLT_SOC_directional_X,23,68.99999996782572,1,n4_rho3_B_LI_NCVX_rational,OPTIMAL,OPTIMAL
RLT_SOC_hybrid_XU,23,68.99999935575215,1,n4_rho3_B_LI_NCVX_rational,OPTIMAL,OPTIMAL
RLT_SOC_directional_U,23,68.99998186051198,1,n4_rho3_B_LI_NCVX_rational,OPTIMAL,OPTIMAL
RLT_full_SDP,23,17.72305671709296,9,n10_rho8_B_LI_LE_QI_QE_NCVX_seed8,OPTIMAL,OPTIMAL
RLT_blockSDP_U,23,0.9346505164437531,6,n4_rho3_P_LI_NCVX_seed5,OPTIMAL,OPTIMAL
RLT_blockSDP_X,23,0.047474533029458144,18,n6_rho4_P_LI1_LE1_QE1_NCVX_seed108,OPTIMAL,OPTIMAL
RLT_blockSDP_XU,23,0.02852097514811902,18,n6_rho4_P_LI1_LE1_QE1_NCVX_seed108,OPTIMAL,OPTIMAL
