mode_str,avg_gscore,avg_tscore,avg_loss
RLT_SOC2x2_full_X,0.11976624002711272,0.167549440453384,0.14365784024024839
RLT_SOC2x2_full_XU,0.11976657662854684,0.19584092541655165,0.15780375102254923
RLT_SOC_hybrid_X,0.08578525561042215,0.24125440188232697,0.16351982874637458
RLT_SOC_directional_X,0.12648394669655663,0.2152627773258539,0.17087336201120526
RLT_SOC_directional_XU,0.12648402164230457,0.3003400823382199,0.2134120519902622
RLT_SOC_hybrid_XU,0.11973242063685523,0.3169914412048932,0.2183619309208742
RLT_SOC2x2_diag_XU,0.3027792456571961,0.171645554721254,0.23721240018922501
RLT_SOC2x2_diag_X,0.3027781180612557,0.18637936750542483,0.24457874278334032
RLT_blockSDP_X,0.04936701827046447,0.5738199701482564,0.31159349420936044
RLT_PSD3x3_X,0.07427075487856942,0.5997576912062006,0.33701422304238493
RLT_blockSDP_XU,0.049367018763562025,0.724592241038987,0.3869796299012745
RLT_PSD3x3_XU,0.07427079937530516,0.710805251316026,0.39253802534566556
RLT_full_SDP,0.01857744056286828,0.9457149783773463,0.4821462094701072
RLT_SOC2x2_full_U,0.956520208648314,0.12155300052350086,0.5390366045859073
RLT_SOC2x2_diag_U,0.9565195333987889,0.14471938882692575,0.5506194611128573
RLT,0.9565217154091625,0.17661246259406002,0.5665670890016112
RLT_SOC_directional_U,0.9565215838544271,0.2007394603221,0.5786305220882635
RLT_SOC_hybrid_U,0.95652165310414,0.23524169559709787,0.595881674350619
RLT_blockSDP_U,0.9559945755755345,0.5980153373488395,0.7770049564621869
RLT_PSD3x3_U,0.9565217365549259,0.6736985116270715,0.8151101240909986
